Study_ID,Authors_OS,Journal_OS,Discipline,Type_Test_Statistic_OS,DF1_OS,DF2_OS,Test_Statistic_OS,Analysis_Type_OS,Effect_Size_OS,Power_OS,N_OS,r_OS,pval_OS,FZ_OS,Type_Test_Statistic_RS,DF1_RS,DF2_RS,Test_Statistic_RS,Analysis_Type_RS,Power_RS,Effect_Size_RS,N_RS,r_RS,pval_RS,FZ_RS,FZ_meta,FZ_se_OS,FZ_se_RS,pvalFZ_OS,pvalFZ_RS
1,A Roelofs,JEPLMC,Cognitive,F,1,13,7.11,RM ANOVA,__p^2 = 0.354,NA,24,0.594605285,0.019394664,0.6847601584739658,F,1,28,0.63,RM ANOVA,25,__p^2 = .02,29,0.148340453,0.434030725,0.14944312025628254,0.314156055,0.28867513459481287,0.19245008972987526,0.01768831923460413,0.4374365681935346
2,"AL Morris, ML Still",JEPLMC,Cognitive,F,1,23,13.71,RM ANOVA,__p^2 = .374,0.95,24,0.611120054,0.001173471,0.710707113969394,F,1,23,1.28,RM ANOVA,21,__p^2 = .051,24,0.229604631,0.269558068,0.23377205458996472,0.472239584,0.21320071635561044,0.21320071635561044,8.575701914103462e-4,0.2728652155143572
3,"B Liefooghe, P Barrouillet, A Vandierendonck, V Camos",JEPLMC,Cognitive,F,1,24,5.29,MANOVA,__p^2 = 0.181,0.89,25,0.424979665,0.030449585,0.4537537085180426,F,1,31,1.506,MANOVA,21,__p^2 = .046,32,-0.215243835,0.228988827,-0.21866348559307722,0.073140202,0.20851441405707477,0.18257418583505536,0.029545814920696932,0.23104581057327514
4,"BC Storm, EL Bjork, RA Bjork",JEPLMC,Cognitive,F,1,190,10.49,mixed ANOVA,__p^2 = 0.052,NA,240,0.228739615,0.00141669,0.23285908973210578,F,1,268,0.01,mixed ANOVA,22,__p^2 = 0.00003,270,-0.006108358,0.920419089,-0.006108433973461672,0.092937316,0.07273929674533079,0.06119900613621046,0.0013681698278315926,0.9204930780131871
5,"C Mitchell, S Nash, G Hall",JEPLMC,Cognitive,F,1,31,8.38,RM ANOVA,dz = 0.51,0.8,32,0.461300742,0.00689115,0.49896239247600394,F,1,47,0.87,RM ANOVA,19,n_p^2 = 0.02,48,0.134811802,0.355722382,0.13563752487097225,0.279055236,0.18257418583505536,0.14744195615489714,0.006277375256208751,0.357604923558456
6,"CJ Berry, DR Shanks, RN Henson",JEPLMC,Cognitive,t,1,23,3.55,dependent samples t-test,dz = 0.724,NA,24,0.594960462,0.001706566,0.6853097695820245,t,1,31,2.4,dependent samples t-test,24,d = .424,32,0.395843475,0.02258934,0.41871042069876274,0.531502453,0.21320071635561044,0.18257418583505536,0.0013072301769536914,0.021826630322635727
7,"CP Beaman, I Neath, AM Surprenant",JEPLMC,Cognitive,t,1,99,10.18,dependent samples t-test,d = 1.02,NA,100,0.715143728,4.44e-17,0.8976337091060953,t,1,14,0.496,dependent samples t-test,21,d = .13,15,0.131411981,0.627590166,0.13217637292161324,0.807985553,0.10101525445522107,0.2773500981126146,6.32798053722595e-19,0.6336692832819071
8,"CS Dodson, J Darragh, A Williams",JEPLMC,Cognitive,F,1,37,17.03,ANOVA,__p^2 = .32,NA,48,0.561422534,2.00441e-4,0.6349080539735836,F,1,31,0.384,ANOVA,21,__p^2 = 0.012,33,-0.110614348,0.539998592,-0.11106883107218099,0.295827652,0.16666666666666666,0.18257418583505536,1.392772117560852e-4,0.5429560009085107
9,"CT Weidemann, DE Huber, RM Shiffrin",JEPLMC,,F,6,228,46.09,RMANOVA,__p^2 = 0.328,NA,118,0.302242514,9.61e-37,0.31198573348332964,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"D Ganor-Stern, J Tzelgov",JEPLMC,Cognitive,F,1,28,26.69,mixed ANOVA,__p^2 = 0.488,NA,32,0.698586719,1.76e-5,0.8645347464677579,F,1,29,45.27,mixed ANOVA,21,MSE=3574.9,32,0.780725807,2.21e-7,1.0472266736984779,0.957541546,0.19245008972987526,0.1889822365046136,7.047319550429137e-6,3.000583041497173e-8
11,"D Mirman, JS Magnuson",JEPLMC,Cognitive,F,1,21,17.3,RM ANOVA,__p^2 = .452,NA,22,0.672084167,4.43918e-4,0.8145345813724082,F,1,29,8.064,RM ANOVA,25,__p^2 = .218,30,0.466443576,0.008168915,0.5055152926486165,0.63427333,0.22360679774997896,0.1889822365046136,2.697833646629455e-4,0.007474362943086481
12,"JE Marsh, F Vachon, DM Jones",JEPLMC,Cognitive,F,2,92,3.13,mixed ANOVA,d = .52,NA,48,0.178477629,0.048407105,0.18040978529579357,F,2,232,1.63,mixed ANOVA,21,_2 = .014,118,0.08323764,0.198165248,0.08343068058760733,NA,NA,NA,NA,NA
13,"JI Campbell, ND Robert",JEPLMC,Cognitive,F,2,68,41.59,mixed ANOVA,__p^2 = 0.550,NA,36,0.52450217,1.59e-12,0.5825304357435118,F,2,68,41.603,mixed ANOVA,25,__p^2 = 0.55,36,0.524539034,1.58e-12,0.5825812911881418,NA,NA,NA,NA,NA
14,"JJ Richler, I Gauthier, MJ Wenger, TJ Palmeri",JEPLMC,Cognitive,F,2,36,25.088,3x2 repeated measures ANOVA,__p^2 = .477,NA,19,0.539560135,1.5e-7,0.6035348835681188,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"JR Schmidt, D Besner",JEPLMC,Cognitive,t,1,94,1.929,dependent samples t-test,d = 0.198,0.61,95,0.195136354,0.05674741,0.1976713412006974,t,1,241,3.955,dependent samples t-test,25,d = .255,242,0.24687812,1.01e-4,0.25208556419944367,0.236888799,0.10369516947304253,0.06454972243679027,0.05661474609491428,9.41113781028231e-5
16,"K Dent, RA Johnston, GW Humphreys",JEPLMC,,F,2,82,5.53,ANOVA 2x2 repeated,__p^2 = 0.119,NA,42,0.24377044,0.005585769,0.24877887081400266,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,K Fiedler,JEPLMC,Cognitive,F,2,76,8.67,RM ANOVA,__p^2 = 0.186,NA,39,0.304772411,4.05826e-4,0.31477232435005204,F,1.58,72.4,19.48,RM ANOVA,23,__p^2 = .28,47,0.434510306,1.37e-6,0.4654433744851636,NA,NA,NA,NA,NA
18,"K Lemh_fer, T Dijkstra, H Schriefers, RH Baayen, J Grainger, P Zwitserlood",JEPLMC,,t,1,60368,2.18,mixed effects regression model,_ = -.011,NA,80,0.008872296,0.029261311,0.008872528813052586,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,K Oberauer,JEPLMC,Cognitive,F,1,31,14.2,RM ANOVA,__p^2 = .31,NA,32,0.560499145,6.92486e-4,0.6335606756467697,F,1,19,3.661,RM ANOVA,8,__p^2 = .162,21,0.401939168,0.070889711,0.4259596013400539,0.555710273,0.18257418583505536,0.23570226039551584,5.201586097264014e-4,0.07073210849793685
20,"L Sahakyan, PF Delaney, ER Waldum",JEPLMC,Cognitive,F,1,94,4.97,mixed ANOVA,_^2=.05,NA,96,0.224092029,0.028172412,0.2279603641295731,F,1,106,0.04,mixed ANOVA,18,__p^2 = .0004,108,0.019422053,0.841863775,0.01942449565684181,0.117373161,0.10369516947304253,0.09759000729485333,0.02792273985341424,0.8422300074177625
21,"LH Wurm, SR Seaman",JEPLMC,,B,NA,NA,-0.0643,polynomial regression,SE = .0288,NA,12,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel",JEPLMC,Cognitive,F,3,93,5.23,RM ANOVA,MSE = .009,NA,18,0.219359299,0.002218001,0.22298292048881402,F,2.33,90,0.38,RM ANOVA,23,_2 = .01,32,0.064661345,0.716617946,0.0647516900439762,NA,NA,NA,NA,NA
23,"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel",JEPLMC,,,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"M Bassok, SF Pedigo, AT Oskarsson",JEPLMC,Cognitive,F,1,152,23.176,RM ANOVA,X,NA,154,0.363732358,3.54e-6,0.38118065255017597,F,1,48,4.22,RM ANOVA,6,"MSE = 9,999",49,0.284274426,0.045417099,0.29232618593633947,0.360088936,0.08137884587711594,0.14586499149789456,2.8129392192908074e-6,0.04506070302634702
25,"M Couture, D Lafond, S Tremblay",JEPLMC,Cognitive,F,3,48,9.14,mixed ANOVA,d = 1.51,NA,24,0.348120689,6.83e-5,0.3633036901996935,F,3,59,5.681,ANOVA,26,__p^2 = .224,63,0.2733272,0.001737041,0.2804561443603031,NA,NA,NA,NA,NA
26,"M Reynolds, D Besner",JEPLMC,Cognitive,F,1,94,2.5,mixed ANOVA,_^2 = .026,NA,16,0.160955695,0.117205428,0.16236765395786637,F,1,92,1.95,mixed ANOVA,21,n^2=.021,20,0.14406846,0.165946909,0.14507780824932953,0.153816698,0.10369516947304253,0.10482848367219183,0.1173914769935796,0.16637251418581148
27,"MJ Yap, DA Balota, CS Tse, D Besner",JEPLMC,Cognitive,F,1,31,5.17,RM ANOVA,__p^2 = .143,NA,32,0.378068955,0.030057008,0.3978046318847213,F,1,70,11.783,RM ANOVA,18,__p^2 = .144,71,0.379573968,0.001007522,0.39956181059966156,0.399029332,0.18257418583505536,0.1203858530857692,0.029341646224430987,9.03373008396583e-4
28,"N Janssen, W Schirm, BZ Mahon, A Caramazza",JEPLMC,Cognitive,F,1,31,4.1,RM ANOVA,d=0.74,NA,32,0.341773488,0.051569634,0.35609920057597144,F,1,90,0.97,RM ANOVA,20,__p^2 = .011,91,0.103261105,0.327320513,0.10363049054284387,0.167278065,0.18257418583505536,0.105999788000636,0.05112421638756825,0.3282484027167045
29,"NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat",JEPLMC,Cognitive,t,1,7,2.892,dependent samples t-test,__p^2 = .09,0.69,8,0.73782079,0.023249789,0.945679455083732,t,1,14,3.708,dependent samples t-test,21,d = .957,15,0.703904904,0.002339966,0.8749986126610696,0.897318879,0.408248290463863,0.2773500981126146,0.02053468641101393,0.0016057934065005519
30,"P Tabossi, R Fanari, K Wolf",JEPLMC,,F,1,25,15.85,ANOVA,,NA,26,0.62290039,5.19937e-4,0.7297304107885093,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"P W<d9>hr, R Biebl, U Ansorge",JEPLMC,,F,1,23,37.11,ANOVA,,NA,24,0.785727789,3.26e-6,1.0601670576651916,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,PA White,JEPLMC,Cognitive,F,1,36,22.88,RM ANOVA,__p^2 = .427,NA,37,0.623367433,2.91e-5,0.730493922145522,F,1,37,11.12,RM ANOVA,25,__p^2 = .15,38,0.480717115,0.001950822,0.5239164970453953,0.625750439,0.1690308509457033,0.16666666666666666,1.5485946549240072e-5,0.0016694099624280727
33,S Farrell,JEPLMC,Cognitive,t,1,39,3.77,paired sample t-test,d=0.6,NA,40,0.516812354,5.41079e-4,0.5719805985026437,t,1,39,2.08,paired sample t-test,21,d = .37,40,0.315999964,0.04414462,0.32719705713775554,0.449588828,0.16222142113076254,0.16222142113076254,4.220061246160394e-4,0.04369779662098452
34,"S Frisson, B McElree",JEPLMC,,F,NA,NA,0.01,ANOVA,X,NA,40,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"S O'Malley, MG Reynolds, JA Stolz, D Besner",JEPLMC,Cognitive,t,1,4123,5.9,mixed effect model,X,NA,48,0.091499705,3.93e-9,0.09175634658622822,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"S Pacton, P Perruchet",JEPLMC,Cognitive,F,1,20,20.79,mixed ANOVA,__p^2 = .51,NA,24,0.713921386,1.90422e-4,0.8951362925600663,F,1,20,17.35,mixed ANOVA,25,__p^2 = .46,24,0.681560537,4.7793e-4,0.8320225722216888,0.863579432,0.22941573387056177,0.22941573387056177,9.547662439316833e-5,2.870639201952731e-4
37,"T Makovski, R Sussman, YV Jiang",JEPLMC,Cognitive,F,1,11,4.8,RM ANOVA,__p^2 = .3037,NA,12,0.551178255,0.05088911,0.6200721405949666,F,1,17,2.37,RM ANOVA,4,__p^2 = .122,18,0.349791589,0.142093022,0.36520626859527244,0.463231604,0.31622776601683794,0.25,0.049897657871993406,0.14406345274762472
38,"T Meiser, C Sattler, K Weisser",JEPLMC,,r,NA,NA,0.041,zero order correlation,r = .041,NA,205,0.041,0.55986211,0.041022996865765333,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
