Study,Name_OS,Sref,Stat_OS,stat_os,N_OS,In_OS,r_OS,r95l_OS,r95u_OS,pval_OS,FZ_OS,FZ_se_OS,Type_RS1,Stat_RS1,N_RS1,In_RS1,r_RS1,r95l_RS1,r95u_RS1,pval_RS1,Power_RS1,FZ_RS1,FZ_se_RS1,Type_RS2,Stat_RS2,N_RS2,In_RS2,r_RS2,r95l_RS2,r95u_RS2,pval_RS2,Power_RS2,FZ_RS2,FZ_se_RS2,r_RS,FZ_RS,FZ_se_RS,pval_RS,N_RS,Market_Belief,Survey_Belief
1,"Ackerman et al. (2010), Science",(36),"F(1,52)",4.0799999,54,54,0.26972803,0.002120639,0.50128454,0.048559953,0.2765704902553104,0.14002800840280097,t(257),2.2772999,259,259,0.14064212,0.019080529,0.25810617,0.023590369,0.90141374,0.14158059338566517,0.0625,t(597),1.5351,599,599,0.062703826,-0.017495269,0.14210123,0.12528904,0.90379256,0.06278619941450968,0.04096159602595203,0.062703826,0.06278619941450968,0.04096159602595203,0.12528904,599,0.23125729,0.2778261
2,"Aviezer et al. (2012), Science",(37),t(14),13.07,15,15,0.9613806,0.88492548,0.98737931,3.101734e-9,1.9638245755635384,0.2886751345948129,t(13),5.342,14,14,0.82887018,0.53245419,0.94420552,1.3382229e-4,0.93026948,1.1845156087190105,0.30151134457776363,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82887018,1.1845156087190105,0.30151134457776363,1.3382229e-4,14,0.80378443,0.67858696
3,"Balafoutas and Sutter (2012), Science",(38),Chi2(1),5.6199999,72,72,0.27788922,0.049401011,0.47873753,0.017756648,0.2853931934191448,0.1203858530857692,Chi2(1),5.2199001,243,243,0.14641742,0.020959193,0.26733595,0.022329835,0.89756858,0.1474773898492927,0.06454972243679027,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14641742,0.1474773898492927,0.06454972243679027,0.022329835,243,0.87868899,0.6968478
4,"Derex et al. (2013), Nature",(39),Chi2(1),16.299999,51,366,0.52465248,0.29116744,0.69914919,5.4063952e-5,0.5827378117611005,0.14433756729740646,Chi2(1),8.8337002,65,482,0.36050302,0.12784484,0.55555427,0.0029571822,0.90202659,0.37746393971231956,0.1270001270001905,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36050302,0.37746393971231956,0.1270001270001905,0.0029571822,65,0.6494199,0.77369565
5,"Duncan et al. (2012), Science",(40),t(14),3.4100001,15,15,0.67359084,0.24632318,0.88163918,0.0042279498,0.8172875571013024,0.2886751345948129,t(35),1.0997,36,36,0.18275274,-0.15509503,0.48232904,0.27896959,0.908764,0.1848290691260426,0.17407765595569785,t(91),4.6276002,92,92,0.43645984,0.25438288,0.5886547,1.2224008e-5,0.90620846,0.4678491606966545,0.105999788000636,0.43645984,0.4678491606966545,0.105999788000636,1.2224008e-5,92,0.74115789,0.65467393
6,"Gervais and Norenzayan (2012), Science",(41),t(55),2.24,57,57,0.28914034,0.030900771,0.51119429,0.029151877,0.2976279228777406,0.13608276348795434,t(222),-0.81529999,224,224,-0.054801457,-0.1845585,0.0768333,0.41577443,0.9016934,-0.05485641597191491,0.06726727939963124,t(529),-0.81529999,531,531,-0.035470117,-0.12019756,0.049770325,0.41526753,0.91002929,-0.0354850035691282,0.04351941398892446,-0.035470117,-0.0354850035691282,0.04351941398892446,0.41526753,531,0.37575552,0.3775
7,"Gneezy et al. (2014), Science",(42),z,3,178,178,0.2229694,0.078457758,0.3583034,0.0026997961,0.22677869155052452,0.07559289460184544,z,3.7063999,407,407,0.18233825,0.086670443,0.27467388,2.1022619e-4,0.92174101,0.18440029100678534,0.04975185951049946,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18233825,0.18440029100678534,0.04975185951049946,2.1022619e-4,407,0.93540728,0.7995652
8,"Hauser et al. (2014), Nature",(43),t(38),8.6960001,40,200,0.81581438,0.67613339,0.89888632,1.4272976e-10,1.1441726434125084,0.1643989873053573,t(20),6.7082,22,110,0.83205014,0.63222629,0.92808646,1.5798449e-6,0.91878766,1.1947627156893268,0.22941573387056174,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83205014,1.1947627156893268,0.22941573387056174,1.5798449e-6,22,0.95515829,0.79503942
9,"Janssen et al. (2010), Science",(44),z,5.7610002,63,105,0.63140059,0.45478103,0.76023519,8.3617042e-9,0.7437418689678268,0.12909944487358055,z,2.2383001,42,70,0.34381703,0.044539947,0.5864647,0.025201498,0.90232056,0.3584148528429277,0.16012815380508713,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34381703,0.3584148528429277,0.16012815380508713,0.025201498,42,0.90493548,0.81532609
10,"Karpicke and Blunt (2011), Science",(45),"F(1,38)",21.629999,40,40,0.60227637999999994,0.35791767,0.76942945,3.9268718e-5,0.6967116463223205,0.1643989873053573,t(48),2.8824999,49,49,0.38413259,0.11540128,0.60046852,0.0058860765,0.92212439,0.4048986183765987,0.14744195615489714,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38413259,0.4048986183765987,0.14744195615489714,0.0058860765,49,0.72159588,0.77692306
11,"Kidd and Castano (2013), Science",(46),"F(1,82)",6.4000001,86,86,0.26906911,0.06065147,0.45500499,0.013326087,0.27586000643980424,0.10976425998969035,"F(1,281)",-1.2078,285,285,-0.06570217,-0.18051125,0.050873242,0.27270898,0.92282182,-0.06579695612170254,0.05954913341754137,"F(1,710)",-0.52700001,714,714,-0.027254447,-0.10042592,0.046210259,0.46811008,0.94262993,-0.027261198254597146,0.037502930030867465,-0.027254447,-0.027261198254597146,0.037502930030867465,0.46811008,714,0.33918244,0.46130437
12,"Kovacs et al. (2010), Science",(47),t(23),2.4200001,24,24,0.45049948,0.057563841,0.72258145,0.023826132,0.4853267624531322,0.2182178902359924,t(94),7.0152001,95,95,0.58620399,0.43619543,0.70451218,3.4974035e-10,0.92331564,0.6718629450830571,0.10425720702853739,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58620399,0.6718629450830571,0.10425720702853739,3.4974035e-10,95,0.62696338,0.53434783
13,"Lee and Schwarz (2010), Science",(48),"F(1,38)",6.7399998,40,40,0.38813424,0.08716362,0.62417608,0.013330429,0.4096014695202176,0.1643989873053573,"F(1,121)",-0.56209999,123,123,-0.068316437,-0.24241889,0.11004888,0.45487058,0.90355974,-0.06842301630252123,0.09128709291752768,"F(1,284)",-0.6081,286,286,-0.046322692,-0.16143879,0.070037045,0.43615347,0.90138513,-0.04635586767413153,0.0594438298277764,-0.046322692,-0.04635586767413153,0.0594438298277764,0.43615347,286,0.33347231,0.32032609
14,"Morewedge et al. (2010), Science",(49),t(30),2.7839999,32,32,0.45311347,0.12401335,0.69240832,0.0092059383,0.488611206901194,0.18569533817705186,t(87),3.5383999,89,89,0.3546918,0.15811451,0.52422559,6.4856268e-4,0.90368599,0.37080061071935605,0.10783277320343841,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3546918,0.37080061071935605,0.10783277320343841,6.4856268e-4,89,0.58853525,0.54652172
15,"Nishi et al. (2015), Nature",(50),t(198),2.881,200,366,0.2005827,0.06361194,0.33013633,0.0044010379,0.20333960698900574,0.07124704998790965,t(478),2.5543001,480,792,0.11604169,0.02681978,0.20342937,0.010949132,0.91152465,0.11656679899113871,0.04578685464956301,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11604169,0.11656679899113871,0.04578685464956301,0.010949132,480,0.78268003,0.75271738
16,"Pyc and Rawson (2010), Science",(51),t(34),2.3699999,36,36,0.37653738,0.054778013,0.62745339,0.023603488,0.3960188343027853,0.17407765595569785,t(130),1.7119,132,132,0.1484793,-0.022976071,0.31144994,0.089299656,0.90350413,0.1495850943047201,0.08804509063256238,t(304),2.6403999,306,306,0.14973016,0.03824874,0.25753021,0.0087084388,0.90116566,0.15086439620872283,0.0574484989621426,0.14973016,0.15086439620872283,0.0574484989621426,0.0087084388,306,0.8181417,0.60336959
